Régime prioritaire,Régime particulier,Nombre total de vélos,Arrondissement,Adr_emplacement,latitude,longitude
2 ROUES,Vélos,10,9,25 RUE DE TREVISE Paris 9,48.88273436859791,2.310496800446965
2 ROUES,Vélos,6,13,186 RUE NATIONALE Paris 13,48.85102507427527,2.323769922481522
2 ROUES,Vélos,5,12,160 RUE DE PICPUS Paris 12,48.88251754590107,2.3102692352007064
2 ROUES,Vélos,8,12,123 RUE DE PICPUS Paris 12,48.837029529322514,2.3025711148041594
2 ROUES,Vélos,24,1,1 RUE DE MONDOVI Paris 1,48.8205538397989,2.3731574032121956
2 ROUES,Vélos,6,11, RUE AMELOT Paris 11,48.84109876175713,2.3038683980845645
2 ROUES,Vélos,6,14,11 RUE GEORGES SACHE Paris 14,48.84056800903619,2.308560453189424
2 ROUES,Vélos,12,13,8 RUE BAUDOIN Paris 13,48.87678359085842,2.383656561089489
2 ROUES,Vélos,4,15,27 BD PASTEUR Paris 15,48.85312990529481,2.3613401085442387
2 ROUES,Vélos,20,9,27 BD HAUSSMANN Paris 9,48.88587729078417,2.3944571299862405
